WKT;WKT_2;ID;CO_FRAC_RA;COMUNA;FRACCION;RADIO;TOTAL_POB;T_VARON;T_MUJER;I_MASCULINIDAD;T_VIVIENDA;V_PARTICUL;V_PARTICUL_POR;V_COLECTIV;V_COLECTIV_POR;T_HOGAR;H_CON_NBI;H_CON_NBI_POR;H_SIN_NBI;H_SIN_NBI_POR;H_CON_NBI_POR_NUMBER;NBI
"MULTIPOLYGON (((-58.4858012326153 -34.5626303818954,-58.4853837046243 -34.5630746348449,-58.4863554291004 -34.5635291888943,-58.4873279304556 -34.5639841575701,-58.4875298054098 -34.564078557473,-58.4883101407555 -34.5644172844765,-58.4892900602173 -34.5648427275515,-58.4903563267674 -34.5653056096347,-58.4909073182636 -34.5645829869492,-58.4909878972276 -34.5644613432196,-58.4910874506797 -34.5643111726375,-58.4919363890799 -34.5631042287377,-58.490991285271 -34.5626506284525,-58.4904650910028 -34.5634053602044,-58.4900432948942 -34.5640104821831,-58.4890918912183 -34.5635563052666,-58.488139220752 -34.563101557758,-58.487184942932 -34.5626459579932,-58.4863769481845 -34.5622602551404,-58.4862211390651 -34.5621835212785,-58.4858012326153 -34.5626303818954)))";;"925";12_9_5;COMUNA 12;"9";"5";"965";"469";"496";"94,56%";"456";"456";"100,00%";"0";"0,00%";"358";"4";"1.12";"354";"98,88%";"1.12";1.120
"MULTIPOLYGON (((-58.4900433819791 -34.5621956129281,-58.4892768419645 -34.5618274559426,-58.4890864644843 -34.5617379862058,-58.4882921792931 -34.561364687927,-58.48813109178 -34.5612869012127,-58.4873199543629 -34.5608954302615,-58.4871745350335 -34.5608270761598,-58.4862211390651 -34.5621835212785,-58.4863769481845 -34.5622602551404,-58.487184942932 -34.5626459579932,-58.488139220752 -34.563101557758,-58.4890918912183 -34.5635563052666,-58.4900432948942 -34.5640104821831,-58.4904650910028 -34.5634053602044,-58.490991285271 -34.5626506284525,-58.4905182263635 -34.5624236143911,-58.4904006431999 -34.5623672301681,-58.4900433819791 -34.5621956129281)))";;"926";12_9_6;COMUNA 12;"9";"6";"960";"452";"508";"88,98%";"452";"452";"100,00%";"0";"0,00%";"377";"3";"0.8";"374";"99,20%";"0.8";0.800
"MULTIPOLYGON (((-58.4858012326153 -34.5626303818954,-58.4862211390651 -34.5621835212785,-58.4871745350335 -34.5608270761598,-58.486388695783 -34.560457566731,-58.4862550269348 -34.5603938573439,-58.4853010459624 -34.5599392285447,-58.4851659314367 -34.5598748843957,-58.4850179612427 -34.5598043449858,-58.4843501397196 -34.5594837466014,-58.4837007129025 -34.5591720150223,-58.4836203436906 -34.5591334355336,-58.4835563138851 -34.5591026605753,-58.4834090221573 -34.5593123507032,-58.4833156159532 -34.5594464050618,-58.4832230661708 -34.5595783316061,-58.4829983849878 -34.5598970653066,-58.4828343576847 -34.5601259198308,-58.4826636351165 -34.5603669645715,-58.4826028554164 -34.5604533222148,-58.4825632098293 -34.5605096517554,-58.4824309828037 -34.5606980540587,-58.482282017396 -34.5609100065055,-58.4821163133527 -34.5611455090323,-58.481925501238 -34.5614156441123,-58.4818433651027 -34.5615340086608,-58.4819988341844 -34.5616142311872,-58.4827814330858 -34.5620174379675,-58.4834738395833 -34.5622101475995,-58.4836258918941 -34.5622524474592,-58.4846093466267 -34.5627123658113,-58.4853837046243 -34.5630746348449,-58.4858012326153 -34.5626303818954)))";;"927";12_9_7;COMUNA 12;"9";"7";"879";"437";"442";"98,87%";"369";"369";"100,00%";"0";"0,00%";"307";"2";"0.65";"305";"99,35%";"0.65";0.650
"MULTIPOLYGON (((-58.472193546158 -34.5396675424214,-58.4731342057568 -34.5401435449546,-58.4732630664014 -34.5402087482841,-58.4743560065406 -34.540759872552,-58.4746773117793 -34.5403257360783,-58.4749273931792 -34.5399878076996,-58.4754080163553 -34.5393383068493,-58.4754114680994 -34.5393336422144,-58.4754113100596 -34.539333568928,-58.4757611500952 -34.5388303281328,-58.4759124478323 -34.5386126859104,-58.4727082675926 -34.5371976346099,-58.4726836657611 -34.5371867692743,-58.472463335343 -34.5374997246616,-58.4721677131993 -34.5379196194249,-58.4721993415636 -34.5379336503576,-58.4721999875433 -34.5379339369261,-58.4718493226989 -34.538417930826,-58.4712699194007 -34.5392000529487,-58.472193546158 -34.5396675424214)))";;"928";13_1_1;COMUNA 13;"1";"1";"733";"316";"417";"75,78%";"393";"392";"99,75%";"1";"0,26%";"296";"1";"0.34";"295";"99,66%";"0.34";0.340
"MULTIPOLYGON (((-58.4703407708457 -34.5387298806135,-58.4694003983629 -34.5382538564346,-58.4688345891569 -34.5390206838498,-58.4697723286374 -34.5394955152372,-58.470440276631 -34.5398337304808,-58.4707022485431 -34.5399664664726,-58.4716265615748 -34.5404350869442,-58.4721185783436 -34.5397675530493,-58.472193546158 -34.5396675424214,-58.4712699194007 -34.5392000529487,-58.4703407708457 -34.5387298806135)))";;"929";13_1_10;COMUNA 13;"1";"10";"709";"341";"368";"92,66%";"368";"368";"100,00%";"0";"0,00%";"314";"0";"0";"314";"100,00%";"0";0.000
"MULTIPOLYGON (((-58.4710560777679 -34.5412088968847,-58.4719930034228 -34.5416846970651,-58.4725657797539 -34.5409111643269,-58.473786311236 -34.5415297512776,-58.4743560065406 -34.540759872552,-58.4732630664014 -34.5402087482841,-58.4731342057568 -34.5401435449546,-58.472193546158 -34.5396675424214,-58.4721185783436 -34.5397675530493,-58.4716265615748 -34.5404350869442,-58.4711533432963 -34.5410771233029,-58.4710560777679 -34.5412088968847)))";;"930";13_1_11;COMUNA 13;"1";"11";"660";"285";"375";"76,00%";"346";"346";"100,00%";"0";"0,00%";"300";"3";"1";"297";"99,00%";"1";1.000
"MULTIPOLYGON (((-58.4725657797539 -34.5409111643269,-58.4719930034228 -34.5416846970651,-58.4710560777679 -34.5412088968847,-58.4705140912868 -34.5419433341613,-58.4714513623062 -34.5424170256405,-58.4726919052075 -34.5430086488228,-58.4732360070986 -34.5422734271423,-58.473786311236 -34.5415297512776,-58.4725657797539 -34.5409111643269)))";;"931";13_1_12;COMUNA 13;"1";"12";"544";"255";"289";"88,24%";"310";"309";"99,68%";"1";"0,32%";"246";"1";"0.41";"245";"99,59%";"0.41";0.410
"MULTIPOLYGON (((-58.4684375038346 -34.5430313886861,-58.4693652426119 -34.5435015752456,-58.4699377149538 -34.5427245337835,-58.4708751617976 -34.5431993564281,-58.4720939267085 -34.5438166925126,-58.4726919052075 -34.5430086488228,-58.4714513623062 -34.5424170256405,-58.4705140912868 -34.5419433341613,-58.469587555019 -34.5414750576409,-58.4690110880667 -34.5422551965664,-58.4684375038346 -34.5430313886861)))";;"932";13_1_13;COMUNA 13;"1";"13";"622";"283";"339";"83,48%";"306";"306";"100,00%";"0";"0,00%";"245";"1";"0.41";"244";"99,59%";"0.41";0.410
"MULTIPOLYGON (((-58.4708751617976 -34.5431993564281,-58.4699377149538 -34.5427245337835,-58.4693652426119 -34.5435015752456,-58.4703026098266 -34.5439766135067,-58.4715370398085 -34.5445693050373,-58.4720939267085 -34.5438166925126,-58.4708751617976 -34.5431993564281)))";;"933";13_1_14;COMUNA 13;"1";"14";"647";"262";"385";"68,05%";"355";"353";"99,44%";"2";"0,57%";"283";"28";"9.89";"255";"90,11%";"9.89";9.890
"MULTIPOLYGON (((-58.472463335343 -34.5374997246616,-58.4726836657611 -34.5371867692743,-58.4705288418942 -34.5362350665992,-58.4704492415316 -34.5361999090401,-58.4702401521792 -34.5365711832078,-58.4700236517263 -34.536955613187,-58.470024872847 -34.5369561519064,-58.4700334776109 -34.5370617199086,-58.4700492340678 -34.5372004581059,-58.4700125697973 -34.5373796943746,-58.4699719826197 -34.5374676588201,-58.4699531780451 -34.5375083661418,-58.469935818732 -34.5375317485894,-58.4694003983629 -34.5382538564346,-58.4703407708457 -34.5387298806135,-58.4712699194007 -34.5392000529487,-58.4718493226989 -34.538417930826,-58.4721999875433 -34.5379339369261,-58.4721993415636 -34.5379336503576,-58.4721677131993 -34.5379196194249,-58.472463335343 -34.5374997246616)))";;"934";13_1_2;COMUNA 13;"1";"2";"770";"373";"397";"93,95%";"408";"408";"100,00%";"0";"0,00%";"343";"5";"1.46";"338";"98,54%";"1.46";1.460
"MULTIPOLYGON (((-58.467899158252 -34.5385470423671,-58.4688345891569 -34.5390206838498,-58.4694003983629 -34.5382538564346,-58.469935818732 -34.5375317485894,-58.4699531780451 -34.5375083661418,-58.4699719826197 -34.5374676588201,-58.4700125697973 -34.5373796943746,-58.4700492340678 -34.5372004581059,-58.4700334776109 -34.5370617199086,-58.470024872847 -34.5369561519064,-58.4700236517263 -34.536955613187,-58.4702401521792 -34.5365711832078,-58.4704492415316 -34.5361999090401,-58.4685467595887 -34.5353596043839,-58.4684579950823 -34.5353203813291,-58.4683859255902 -34.5354999709588,-58.4683584365485 -34.5354863800213,-58.4682714763285 -34.5357050566857,-58.4681092968574 -34.536112900803,-58.468066411093 -34.536097097702,-58.4679307932827 -34.5364301970529,-58.4675662174329 -34.5373256405167,-58.4676168776237 -34.5373512918139,-58.4675990083298 -34.5373962947198,-58.4672790419997 -34.5381407013931,-58.4672499813926 -34.5382182481855,-58.4674727489585 -34.5383316785836,-58.4674729368557 -34.5383312042425,-58.467899158252 -34.5385470423671)))";;"935";13_1_3;COMUNA 13;"1";"3";"612";"286";"326";"87,73%";"314";"314";"100,00%";"0";"0,00%";"258";"4";"1.55";"254";"98,45%";"1.55";1.550
"MULTIPOLYGON (((-58.4653088749573 -34.5382957749695,-58.4663904183142 -34.5388407734655,-58.4665416550828 -34.5389170400963,-58.4668991098281 -34.5391052064404,-58.4670323685845 -34.5387659600279,-58.4672173635058 -34.5382987476017,-58.4672499544957 -34.5382183199583,-58.4672499813926 -34.5382182481855,-58.4672790419997 -34.5381407013931,-58.4675990083298 -34.5373962947198,-58.4676168776237 -34.5373512918139,-58.4675662174329 -34.5373256405167,-58.4679307932827 -34.5364301970529,-58.468066411093 -34.536097097702,-58.4681092968574 -34.536112900803,-58.4682714763285 -34.5357050566857,-58.4683584365485 -34.5354863800213,-58.4683859255902 -34.5354999709588,-58.4684579950823 -34.5353203813291,-58.467387044116 -34.5348473411111,-58.4671522871315 -34.535256831378,-58.4668071241279 -34.5358414998678,-58.466806949734 -34.5358416002617,-58.4667598918545 -34.5359244227831,-58.4665979541656 -34.5362093011244,-58.4663030068027 -34.536686586979,-58.4675655581409 -34.5373253066903,-58.466959567682 -34.5380712810483,-58.4658079029507 -34.5374880480337,-58.4653088749573 -34.5382957749695)))";;"936";13_1_4;COMUNA 13;"1";"4";"763";"379";"384";"98,70%";"524";"524";"100,00%";"0";"0,00%";"367";"3";"0.82";"364";"99,18%";"0.82";0.820
"MULTIPOLYGON (((-58.4675655581409 -34.5373253066903,-58.4663030068027 -34.536686586979,-58.4658079029507 -34.5374880480337,-58.466959567682 -34.5380712810483,-58.4675655581409 -34.5373253066903)))";;"937";13_1_5;COMUNA 13;"1";"5";"835";"402";"433";"92,84%";"674";"674";"100,00%";"0";"0,00%";"421";"7";"1.66";"414";"98,34%";"1.66";1.660
