WKT;WKT_2;ID;CO_FRAC_RA;COMUNA;FRACCION;RADIO;TOTAL_POB;T_VARON;T_MUJER;I_MASCULINIDAD;T_VIVIENDA;V_PARTICUL;V_PARTICUL_POR;V_COLECTIV;V_COLECTIV_POR;T_HOGAR;H_CON_NBI;H_CON_NBI_POR;H_SIN_NBI;H_SIN_NBI_POR;H_CON_NBI_POR_NUMBER;NBI
"MULTIPOLYGON (((-58.4417576702105 -34.5698487639647,-58.4416625616663 -34.569888185937,-58.4409910736805 -34.5705741543464,-58.4408670005427 -34.5706762492994,-58.4418346055778 -34.5713279254677,-58.4419438949339 -34.5714452730906,-58.44220343416 -34.5713022826238,-58.4425441175957 -34.5711271205427,-58.4429562396002 -34.5709152773591,-58.4417576702105 -34.5698487639647)))";;"1469";14_4_4;COMUNA 14;"4";"4";"651";"289";"362";"79,83%";"386";"386";"100,00%";"0";"0,00%";"293";"2";"0.68";"291";"99,32%";"0.68";0.680
"MULTIPOLYGON (((-58.4408670005427 -34.5706762492994,-58.4401611614676 -34.5702008892317,-58.4392227790893 -34.5695688540454,-58.4383177778784 -34.5689593544447,-58.4373530252652 -34.5683470186606,-58.4370697305506 -34.568778527564,-58.4370189722431 -34.5688338009872,-58.4367246407563 -34.569154668132,-58.4395061410178 -34.5707045206705,-58.4402143868211 -34.5710969940372,-58.4414106786584 -34.571739137556,-58.4419438949339 -34.5714452730906,-58.4418346055778 -34.5713279254677,-58.4408670005427 -34.5706762492994)))";;"1470";14_4_5;COMUNA 14;"4";"5";"862";"377";"485";"77,73%";"477";"476";"99,79%";"1";"0,21%";"384";"16";"4.17";"368";"95,83%";"4.17";4.170
"MULTIPOLYGON (((-58.4320914038701 -34.5740504243628,-58.4319880926574 -34.5741434305398,-58.4317541297996 -34.5743540846338,-58.4323249397778 -34.5743066907808,-58.4328393834115 -34.5742639989924,-58.4339120316451 -34.5741798164725,-58.4344282411967 -34.5744491034995,-58.4363081660455 -34.5734195510054,-58.4377116119174 -34.5726362917653,-58.4380826295378 -34.5724291751829,-58.4390034099831 -34.5730657226616,-58.4396599453862 -34.5727039314635,-58.4407445362326 -34.57210621842,-58.4414106786584 -34.571739137556,-58.4402143868211 -34.5710969940372,-58.4395061410178 -34.5707045206705,-58.4367246407563 -34.569154668132,-58.436565465764 -34.5693281628077,-58.4357290409747 -34.5702398513064,-58.4352636807508 -34.5707470934328,-58.4349177277972 -34.5711097068646,-58.4340786388977 -34.5719891282682,-58.4334306580354 -34.5726682290653,-58.433325556055 -34.5727783493748,-58.4331005312602 -34.5730141501684,-58.4325281687061 -34.5736140356408,-58.4322371293697 -34.5739191876248,-58.4320914038701 -34.5740504243628)))";;"1471";14_4_6;COMUNA 14;"4";"6";"1303";"619";"684";"90,50%";"656";"649";"98,93%";"7";"1,08%";"454";"5";"1.1";"449";"98,90%";"1.1";1.100
"MULTIPOLYGON (((-58.4380826295378 -34.5724291751829,-58.4377116119174 -34.5726362917653,-58.4363081660455 -34.5734195510054,-58.4365807296003 -34.5736064485878,-58.436761099059 -34.5737515636567,-58.4369339678366 -34.5739253400653,-58.4371152448589 -34.5741057639751,-58.4384507577622 -34.5733702045971,-58.4390034099831 -34.5730657226616,-58.4380826295378 -34.5724291751829)))";;"1472";14_4_7;COMUNA 14;"4";"7";"929";"397";"532";"74,62%";"604";"603";"99,83%";"1";"0,17%";"432";"1";"0.23";"431";"99,77%";"0.23";0.230
"MULTIPOLYGON (((-58.4339120316451 -34.5741798164725,-58.4328393834115 -34.5742639989924,-58.4323249397778 -34.5743066907808,-58.4317541297996 -34.5743540846338,-58.4315813184697 -34.5745096811154,-58.4314562874942 -34.5746222595919,-58.431575304862 -34.5746536293567,-58.4317261351986 -34.5745373951809,-58.4319606732379 -34.5746161902082,-58.4319709427623 -34.5747050698064,-58.4320846764433 -34.5747505228487,-58.4320744903594 -34.5746659392387,-58.4323000933556 -34.5747331111588,-58.4323077249887 -34.5748188209215,-58.4327416540565 -34.5749378769015,-58.4330088062948 -34.5750098466351,-58.4331424676673 -34.5750460073668,-58.4341530171959 -34.5745789041149,-58.4344282411967 -34.5744491034995,-58.4339120316451 -34.5741798164725)))";;"1473";14_4_8;COMUNA 14;"4";"8";"1123";"490";"633";"77,41%";"600";"599";"99,83%";"1";"0,17%";"482";"7";"1.45";"475";"98,55%";"1.45";1.450
"MULTIPOLYGON (((-58.4313559558578 -34.5747125898175,-58.4313108150741 -34.5747532137449,-58.431464795921 -34.5748654411031,-58.4315214019387 -34.5749024993999,-58.4315800522976 -34.5749372341492,-58.4316406618526 -34.5749696453265,-58.4317030603938 -34.5749995216091,-58.4317671627747 -34.5750268629727,-58.4318327987054 -34.5750516693717,-58.4318997979477 -34.5750737999095,-58.4322099313296 -34.5751888826455,-58.4322645012158 -34.5752074181758,-58.4323132776611 -34.5752362343653,-58.432352685335 -34.5752734992684,-58.4324173625101 -34.5753604908455,-58.4328412438616 -34.5760277960261,-58.4339221993868 -34.5755582576304,-58.4341398825772 -34.5754625056847,-58.4341399132594 -34.575462429621,-58.4341419015386 -34.5754614128824,-58.4343316088415 -34.5753776533707,-58.4343353777452 -34.575375996292,-58.4343352916434 -34.5753760226629,-58.435347705436 -34.5749278544436,-58.4371152448589 -34.5741057639751,-58.4369339678366 -34.5739253400653,-58.436761099059 -34.5737515636567,-58.4365807296003 -34.5736064485878,-58.4363081660455 -34.5734195510054,-58.4344282411967 -34.5744491034995,-58.4341530171959 -34.5745789041149,-58.4331424676673 -34.5750460073668,-58.4330088062948 -34.5750098466351,-58.4327416540565 -34.5749378769015,-58.4323077249887 -34.5748188209215,-58.4323000933556 -34.5747331111588,-58.4320744903594 -34.5746659392387,-58.4320846764433 -34.5747505228487,-58.4319709427623 -34.5747050698064,-58.4319606732379 -34.5746161902082,-58.4317261351986 -34.5745373951809,-58.431575304862 -34.5746536293567,-58.4314562874942 -34.5746222595919,-58.431456229005 -34.5746221719218,-58.4314542567801 -34.574624169034,-58.4313567302302 -34.5747119455597,-58.431355937035 -34.5747125626729,-58.4313559558578 -34.5747125898175)))";;"1474";14_4_9;COMUNA 14;"4";"9";"802";"373";"429";"86,95%";"588";"587";"99,83%";"1";"0,17%";"433";"1";"0.23";"432";"99,77%";"0.23";0.230
"MULTIPOLYGON (((-58.4384507577622 -34.5733702045971,-58.4371152448589 -34.5741057639751,-58.4383823209703 -34.5753597826208,-58.4392084577083 -34.5747799198153,-58.4395978043789 -34.574509067125,-58.4384507577622 -34.5733702045971)))";;"1475";14_5_10;COMUNA 14;"5";"10";"1268";"550";"718";"76,60%";"660";"660";"100,00%";"0";"0,00%";"546";"2";"0.37";"544";"99,63%";"0.37";0.370
"MULTIPOLYGON (((-58.4407445362326 -34.57210621842,-58.4396599453862 -34.5727039314635,-58.4406845894137 -34.5737529681803,-58.4408701465042 -34.5736238410697,-58.4417030525011 -34.5730740341266,-58.4407445362326 -34.57210621842)))";;"1476";14_5_4;COMUNA 14;"5";"4";"554";"240";"314";"76,43%";"369";"368";"99,73%";"1";"0,27%";"284";"4";"1.41";"280";"98,59%";"1.41";1.410
"MULTIPOLYGON (((-58.4396599453862 -34.5727039314635,-58.4390034099831 -34.5730657226616,-58.4384507577622 -34.5733702045971,-58.4395978043789 -34.574509067125,-58.4406845894137 -34.5737529681803,-58.4396599453862 -34.5727039314635)))";;"1477";14_5_5;COMUNA 14;"5";"5";"1046";"441";"605";"72,89%";"644";"642";"99,69%";"2";"0,31%";"507";"2";"0.39";"505";"99,61%";"0.39";0.390
"MULTIPOLYGON (((-58.4413836739283 -34.5744686156813,-58.4406845894137 -34.5737529681803,-58.4395978043789 -34.574509067125,-58.4402741645792 -34.5751805597868,-58.4408493159964 -34.5748141696808,-58.4413836739283 -34.5744686156813)))";;"1478";14_5_6;COMUNA 14;"5";"6";"631";"280";"351";"79,77%";"387";"387";"100,00%";"0";"0,00%";"277";"2";"0.72";"275";"99,28%";"0.72";0.720
"MULTIPOLYGON (((-58.4383823209703 -34.5753597826208,-58.43736556476 -34.5760515187871,-58.437171551997 -34.5760263945938,-58.4366748488737 -34.5759431875973,-58.4369049395167 -34.5761143704289,-58.4373781540552 -34.5761648941805,-58.4376879002636 -34.5761900295265,-58.4378639757382 -34.5761977418606,-58.4379544817975 -34.5762045210914,-58.4380950536257 -34.5762076482313,-58.4384988053999 -34.5762114615038,-58.4386508717018 -34.576214590282,-58.4386510107221 -34.5762145755911,-58.438656264639 -34.5762111280481,-58.4388820035137 -34.5760673102669,-58.4388907922467 -34.5760617172513,-58.4388908511112 -34.5760617435478,-58.4390602894527 -34.5760544522279,-58.4391522631359 -34.5759894672596,-58.439215252005 -34.576051805972,-58.4394827804812 -34.576028405457,-58.4395661387779 -34.5760194068188,-58.4396593742622 -34.5760085084997,-58.4397223828054 -34.576000773571,-58.4398118724048 -34.5759881137924,-58.4398671328546 -34.5759803069102,-58.4399363574855 -34.5759702489918,-58.4399631789589 -34.5759658876092,-58.440034447475 -34.5759541398035,-58.4400850251096 -34.5759458389744,-58.4401396046606 -34.5759369050345,-58.4401607212552 -34.5759333876601,-58.4401842221191 -34.5759289551901,-58.440305132281 -34.5759063004189,-58.440425276028 -34.5758838566645,-58.4405152773803 -34.5758669709325,-58.44053630891 -34.5758630309245,-58.4405617681127 -34.5758583170353,-58.4406791018523 -34.5758363654998,-58.4407237198545 -34.5758259505652,-58.4407709805151 -34.5758032820497,-58.4408818425488 -34.5757838644747,-58.4402741645792 -34.5751805597868,-58.4395978043789 -34.574509067125,-58.4392084577083 -34.5747799198153,-58.4383823209703 -34.5753597826208)))";;"1479";14_5_7;COMUNA 14;"5";"7";"553";"258";"295";"87,46%";"283";"281";"99,29%";"2";"0,71%";"236";"18";"7.63";"218";"92,37%";"7.63";7.630
"MULTIPOLYGON (((-58.4392210921998 -34.5761753334394,-58.439105123129 -34.5761858749034,-58.4388364908941 -34.5761962456551,-58.4388017458578 -34.576218211616,-58.4386510107221 -34.5762145755911,-58.4386508717018 -34.576214590282,-58.4384988053999 -34.5762114615038,-58.4380950536257 -34.5762076482313,-58.4379544817975 -34.5762045210914,-58.4378639757382 -34.5761977418606,-58.4376879002636 -34.5761900295265,-58.4373781540552 -34.5761648941805,-58.4369049395167 -34.5761143704289,-58.4370821644502 -34.5762600477045,-58.4372251720655 -34.5763728288715,-58.4377531978089 -34.5767864764916,-58.438430624285 -34.5773171283471,-58.4387460158305 -34.5775652996663,-58.4391461103298 -34.5778802498997,-58.4398069474023 -34.5784240603882,-58.4399388906297 -34.5785469071055,-58.4408885540874 -34.5777964152476,-58.4418141615156 -34.5768178740203,-58.4418782017236 -34.5767719675341,-58.4416673374516 -34.5765628974718,-58.441051490034 -34.575952282082,-58.4410513579856 -34.575952151041,-58.4412658780761 -34.5758048374368,-58.4412554464087 -34.575807804933,-58.4409839884623 -34.5758852954292,-58.4408806163498 -34.5759147148586,-58.4408090912627 -34.5759313928983,-58.4407579167774 -34.5759432151957,-58.4407018888799 -34.5759558112777,-58.4406567600918 -34.5759656627077,-58.44059664517 -34.5759786101307,-58.4405486214313 -34.5759886018475,-58.4404451662024 -34.5760093585546,-58.4402362128771 -34.5760481247345,-58.4401922766056 -34.5760557225958,-58.4401273089371 -34.5760664857017,-58.4400488028226 -34.5760792886011,-58.4399833243689 -34.5760896289825,-58.4399452635183 -34.5760952559338,-58.4398951969313 -34.5761025004176,-58.4398426610852 -34.5761100261204,-58.439789103754 -34.5761166360773,-58.4397396334578 -34.576122753801,-58.4396989332693 -34.5761278167749,-58.4396618092374 -34.5761324578573,-58.4395343451858 -34.5761453920263,-58.4394413653761 -34.5761548113627,-58.4393555378546 -34.5761634573156,-58.4393319522887 -34.5761659176954,-58.4392210921998 -34.5761753334394)))";;"1480";14_5_8;COMUNA 14;"5";"8";"456";"222";"234";"94,87%";"231";"230";"99,57%";"1";"0,43%";"190";"13";"6.84";"177";"93,16%";"6.84";6.840
"MULTIPOLYGON (((-58.43736556476 -34.5760515187871,-58.4383823209703 -34.5753597826208,-58.4371152448589 -34.5741057639751,-58.435347705436 -34.5749278544436,-58.4360506482721 -34.5754467643164,-58.4366748488737 -34.5759431875973,-58.437171551997 -34.5760263945938,-58.43736556476 -34.5760515187871)))";;"1481";14_5_9;COMUNA 14;"5";"9";"1213";"582";"631";"92,23%";"601";"601";"100,00%";"0";"0,00%";"502";"3";"0.6";"499";"99,40%";"0.6";0.600
"MULTIPOLYGON (((-58.435347705436 -34.5749278544436,-58.4343352916434 -34.5753760226629,-58.4343353777452 -34.575375996292,-58.4343316088415 -34.5753776533707,-58.4341419015386 -34.5754614128824,-58.4341399132594 -34.575462429621,-58.4341398825772 -34.5754625056847,-58.4342998874442 -34.575604771131,-58.435027898099 -34.5762468522543,-58.4358308369018 -34.5769460751931,-58.4360181031748 -34.5771094330037,-58.4366474082728 -34.5776586061015,-58.4377531978089 -34.5767864764916,-58.4372251720655 -34.5763728288715,-58.4370821644502 -34.5762600477045,-58.4369049395167 -34.5761143704289,-58.4366748488737 -34.5759431875973,-58.4360506482721 -34.5754467643164,-58.435347705436 -34.5749278544436)))";;"1482";14_6_1;COMUNA 14;"6";"1";"991";"468";"523";"89,48%";"700";"699";"99,86%";"1";"0,14%";"512";"2";"0.39";"510";"99,61%";"0.39";0.390
"MULTIPOLYGON (((-58.4316376427189 -34.5766771815072,-58.431575137749 -34.576701110255,-58.4314077609481 -34.5766549387561,-58.430105413946 -34.5770331349857,-58.4309744545978 -34.577791776093,-58.4320159885215 -34.5770076432233,-58.4316376427189 -34.5766771815072)))";;"1483";14_6_10;COMUNA 14;"6";"10";"395";"172";"223";"77,13%";"284";"284";"100,00%";"0";"0,00%";"213";"4";"1.88";"209";"98,12%";"1.88";1.880
"MULTIPOLYGON (((-58.4387460158305 -34.5775652996663,-58.438430624285 -34.5773171283471,-58.4377531978089 -34.5767864764916,-58.4366474082728 -34.5776586061015,-58.4375789107878 -34.578471441063,-58.4378318999079 -34.5786921359013,-58.4382256870441 -34.5790358918284,-58.4387413776502 -34.579486365045,-58.4388364233422 -34.5794120143675,-58.4398090142392 -34.5786495631684,-58.4399388906297 -34.5785469071055,-58.4398069474023 -34.5784240603882,-58.4391461103298 -34.5778802498997,-58.4387460158305 -34.5775652996663)))";;"1484";14_6_2;COMUNA 14;"6";"2";"821";"397";"424";"93,63%";"588";"588";"100,00%";"0";"0,00%";"401";"19";"4.74";"382";"95,26%";"4.74";4.740
"MULTIPOLYGON (((-58.4382256870441 -34.5790358918284,-58.4378318999079 -34.5786921359013,-58.4375789107878 -34.578471441063,-58.4366474082728 -34.5776586061015,-58.4356285507674 -34.5784669393892,-58.4347042971654 -34.5792002122419,-58.4346108659512 -34.5792742079477,-58.4355298532169 -34.5800768437583,-58.4361429189499 -34.5806107332543,-58.4366905297423 -34.5810905893738,-58.436944334901 -34.5808922546954,-58.4377162190019 -34.5802884464135,-58.4387413776502 -34.579486365045,-58.4382256870441 -34.5790358918284)))";;"1485";14_6_3;COMUNA 14;"6";"3";"943";"453";"490";"92,45%";"440";"438";"99,55%";"2";"0,46%";"380";"53";"13.95";"327";"86,05%";"13.95";13.950
"MULTIPOLYGON (((-58.4350021403764 -34.5779203675113,-58.4339877760902 -34.5787299557414,-58.4346108659512 -34.5792742079477,-58.4347042971654 -34.5792002122419,-58.4356285507674 -34.5784669393892,-58.4366474082728 -34.5776586061015,-58.4360181031748 -34.5771094330037,-58.4358308369018 -34.5769460751931,-58.435027898099 -34.5762468522543,-58.4340030842711 -34.5770486212394,-58.4350021403764 -34.5779203675113)))";;"1486";14_6_4;COMUNA 14;"6";"4";"722";"354";"368";"96,20%";"499";"498";"99,80%";"1";"0,20%";"361";"9";"2.49";"352";"97,51%";"2.49";2.490
"MULTIPOLYGON (((-58.4339221993868 -34.5755582576304,-58.4328412438616 -34.5760277960261,-58.4340030842711 -34.5770486212394,-58.435027898099 -34.5762468522543,-58.4342998874442 -34.575604771131,-58.4341398825772 -34.5754625056847,-58.4339221993868 -34.5755582576304)))";;"1487";14_6_5;COMUNA 14;"6";"5";"794";"333";"461";"72,23%";"461";"461";"100,00%";"0";"0,00%";"387";"20";"5.17";"367";"94,83%";"5.17";5.170
"MULTIPOLYGON (((-58.4323432429946 -34.5762741288037,-58.432202078688 -34.5763389503534,-58.4317092354041 -34.5764850085087,-58.4314686690477 -34.5765752326874,-58.4314077609481 -34.5766549387561,-58.431575137749 -34.576701110255,-58.4316376427189 -34.5766771815072,-58.4320159885215 -34.5770076432233,-58.4329795283255 -34.5778493254336,-58.4340030842711 -34.5770486212394,-58.4328412438616 -34.5760277960261,-58.4323432429946 -34.5762741288037)))";;"1488";14_6_6;COMUNA 14;"6";"6";"1127";"522";"605";"86,28%";"604";"604";"100,00%";"0";"0,00%";"511";"70";"13.7";"441";"86,30%";"13.7";13.700
"MULTIPOLYGON (((-58.4340030842711 -34.5770486212394,-58.4329795283255 -34.5778493254336,-58.4339877760902 -34.5787299557414,-58.4350021403764 -34.5779203675113,-58.4340030842711 -34.5770486212394)))";;"1489";14_6_7;COMUNA 14;"6";"7";"788";"334";"454";"73,57%";"454";"454";"100,00%";"0";"0,00%";"359";"3";"0.84";"356";"99,16%";"0.84";0.840
"MULTIPOLYGON (((-58.4329795283255 -34.5778493254336,-58.4319568896213 -34.5786493169101,-58.4329751807061 -34.5795381977757,-58.4339877760902 -34.5787299557414,-58.4329795283255 -34.5778493254336)))";;"1490";14_6_8;COMUNA 14;"6";"8";"530";"249";"281";"88,61%";"324";"324";"100,00%";"0";"0,00%";"253";"2";"0.79";"251";"99,21%";"0.79";0.790
"MULTIPOLYGON (((-58.4320159885215 -34.5770076432233,-58.4309744545978 -34.577791776093,-58.4319568896213 -34.5786493169101,-58.4329795283255 -34.5778493254336,-58.4320159885215 -34.5770076432233)))";;"1491";14_6_9;COMUNA 14;"6";"9";"784";"357";"427";"83,61%";"524";"524";"100,00%";"0";"0,00%";"402";"21";"5.22";"381";"94,78%";"5.22";5.220
"MULTIPOLYGON (((-58.4414499813029 -34.5852471040792,-58.4403783835914 -34.585994407989,-58.4392783194378 -34.5867615568936,-58.4385103236918 -34.5872970625551,-58.4383255841881 -34.5874259042432,-58.4379180584624 -34.5877037772497,-58.4379175218298 -34.5877041431526,-58.4378658218065 -34.5877394157562,-58.438081932004 -34.5883682172576,-58.4382715487486 -34.5884590336584,-58.4386143422687 -34.5886203758809,-58.4393890703121 -34.5881083226183,-58.4401565493114 -34.5876011224047,-58.4410892481873 -34.5869846464933,-58.4413975614414 -34.586780255804,-58.4424252046729 -34.586098713067,-58.4434772738804 -34.5854009676046,-58.4445857898517 -34.5846657550622,-58.4447856757497 -34.5845135248236,-58.4443997989956 -34.5831917936965,-58.4436072566103 -34.5837426103913,-58.4425223263383 -34.5844992273853,-58.4414499813029 -34.5852471040792)))";;"1492";14_7_1;COMUNA 14;"7";"1";"879";"422";"457";"92,34%";"478";"478";"100,00%";"0";"0,00%";"375";"50";"13.33";"325";"86,67%";"13.33";13.330
"MULTIPOLYGON (((-58.4437796861044 -34.5822515195962,-58.4434316971011 -34.5817970097772,-58.442323699919 -34.5826143987582,-58.4412672074024 -34.5833936864672,-58.4402157201251 -34.584169303728,-58.4414499813029 -34.5852471040792,-58.4425223263383 -34.5844992273853,-58.4436072566103 -34.5837426103913,-58.4443997989956 -34.5831917936965,-58.4444485951796 -34.5831708142256,-58.4437796861044 -34.5822515195962)))";;"1493";14_7_2;COMUNA 14;"7";"2";"918";"442";"476";"92,86%";"579";"579";"100,00%";"0";"0,00%";"411";"21";"5.11";"390";"94,89%";"5.11";5.110
"MULTIPOLYGON (((-58.4412672074024 -34.5833936864672,-58.442323699919 -34.5826143987582,-58.4434316971011 -34.5817970097772,-58.4425093927139 -34.5809387970112,-58.441375930327 -34.5817868083568,-58.4404048541555 -34.5809389237011,-58.4396649198757 -34.5815233175356,-58.4393836096934 -34.5817439774666,-58.4383589399085 -34.5825476838102,-58.4392816598321 -34.5833535312717,-58.4402157201251 -34.584169303728,-58.4412672074024 -34.5833936864672)))";;"1494";14_7_3;COMUNA 14;"7";"3";"815";"397";"418";"94,98%";"403";"400";"99,26%";"3";"0,75%";"289";"8";"2.77";"281";"97,23%";"2.77";2.770
"MULTIPOLYGON (((-58.4404048541555 -34.5809389237011,-58.441375930327 -34.5817868083568,-58.4425093927139 -34.5809387970112,-58.4422825227001 -34.5807276941797,-58.4415432664226 -34.5800397932262,-58.4405331508016 -34.5790998564832,-58.4403049056493 -34.579291160831,-58.4395118307527 -34.5799559700181,-58.4393925110101 -34.5800549654945,-58.4404048541555 -34.5809389237011)))";;"1495";14_7_4;COMUNA 14;"7";"4";"1021";"487";"534";"91,20%";"577";"577";"100,00%";"0";"0,00%";"402";"3";"0.75";"399";"99,25%";"0.75";0.750
"MULTIPOLYGON (((-58.4373992926257 -34.5817095667674,-58.4383589399085 -34.5825476838102,-58.4393836096934 -34.5817439774666,-58.4396649198757 -34.5815233175356,-58.4404048541555 -34.5809389237011,-58.4393925110101 -34.5800549654945,-58.4395118307527 -34.5799559700181,-58.4403049056493 -34.579291160831,-58.4405331508016 -34.5790998564832,-58.4399388906297 -34.5785469071055,-58.4398090142392 -34.5786495631684,-58.4388364233422 -34.5794120143675,-58.4387413776502 -34.579486365045,-58.4377162190019 -34.5802884464135,-58.436944334901 -34.5808922546954,-58.4366905297423 -34.5810905893738,-58.4373992926257 -34.5817095667674)))";;"1496";14_7_5;COMUNA 14;"7";"5";"745";"359";"386";"93,01%";"424";"423";"99,76%";"1";"0,24%";"260";"13";"5";"247";"95,00%";"5";5.000
"MULTIPOLYGON (((-58.4354058250963 -34.5833636419881,-58.4363090307762 -34.5841533800252,-58.4371885873842 -34.5849223308436,-58.4382398607643 -34.5841332180438,-58.4373394458436 -34.5833473682672,-58.4364066144349 -34.5825332641718,-58.4373992926257 -34.5817095667674,-58.4366905297423 -34.5810905893738,-58.4356685685515 -34.5818890623071,-58.43463917777 -34.5826932997515,-58.4354058250963 -34.5833636419881)))";;"1497";14_7_6;COMUNA 14;"7";"6";"727";"316";"411";"76,89%";"378";"377";"99,74%";"1";"0,27%";"301";"11";"3.65";"290";"96,35%";"3.65";3.650
"MULTIPOLYGON (((-58.4382398607643 -34.5841332180438,-58.4391685564663 -34.5849436450034,-58.4403286639321 -34.5859560874699,-58.4403783835914 -34.585994407989,-58.4414499813029 -34.5852471040792,-58.4402157201251 -34.584169303728,-58.4392816598321 -34.5833535312717,-58.4383589399085 -34.5825476838102,-58.4373992926257 -34.5817095667674,-58.4364066144349 -34.5825332641718,-58.4373394458436 -34.5833473682672,-58.4382398607643 -34.5841332180438)))";;"1498";14_7_7;COMUNA 14;"7";"7";"661";"309";"352";"87,78%";"344";"341";"99,13%";"3";"0,88%";"240";"3";"1.25";"237";"98,75%";"1.25";1.250
"MULTIPOLYGON (((-58.4391685564663 -34.5849436450034,-58.4382398607643 -34.5841332180438,-58.4371885873842 -34.5849223308436,-58.4363807209809 -34.5855288037296,-58.436257302319 -34.5856273726114,-58.4371694806945 -34.5864205567831,-58.4383255841881 -34.5874259042432,-58.4385103236918 -34.5872970625551,-58.4392783194378 -34.5867615568936,-58.4403783835914 -34.585994407989,-58.4403286639321 -34.5859560874699,-58.4391685564663 -34.5849436450034)))";;"1499";14_7_8;COMUNA 14;"7";"8";"586";"254";"332";"76,51%";"369";"367";"99,46%";"2";"0,54%";"239";"7";"2.93";"232";"97,07%";"2.93";2.930
"MULTIPOLYGON (((-58.4338168713973 -34.5846820626639,-58.4347532343449 -34.5853721679433,-58.4357013612324 -34.586070930891,-58.4366666161718 -34.5867822961958,-58.4367007880317 -34.586807451171,-58.4379180584624 -34.5877037772497,-58.4383255841881 -34.5874259042432,-58.4371694806945 -34.5864205567831,-58.436257302319 -34.5856273726114,-58.4363807209809 -34.5855288037296,-58.4371885873842 -34.5849223308436,-58.4363090307762 -34.5841533800252,-58.4354058250963 -34.5833636419881,-58.43463917777 -34.5826932997515,-58.4337149577346 -34.5834152965298,-58.4329300693498 -34.5840284425916,-58.4338168713973 -34.5846820626639)))";;"1500";14_7_9;COMUNA 14;"7";"9";"616";"280";"336";"83,33%";"405";"404";"99,75%";"1";"0,25%";"275";"17";"6.18";"258";"93,82%";"6.18";6.180
"MULTIPOLYGON (((-58.4325575194008 -34.5824053267782,-58.4316521543451 -34.5816152785155,-58.4306894172961 -34.5823769626484,-58.4316705908299 -34.5831001330949,-58.4329300693498 -34.5840284425916,-58.4337149577346 -34.5834152965298,-58.43463917777 -34.5826932997515,-58.4356685685515 -34.5818890623071,-58.4366905297423 -34.5810905893738,-58.4361429189499 -34.5806107332543,-58.4355298532169 -34.5800768437583,-58.4345087443362 -34.5808767862376,-58.4334818241166 -34.581681296327,-58.4325575194008 -34.5824053267782)))";;"1501";14_8_1;COMUNA 14;"8";"1";"843";"427";"416";"102,64%";"490";"489";"99,80%";"1";"0,20%";"366";"6";"1.64";"360";"98,36%";"1.64";1.640
"MULTIPOLYGON (((-58.4346108659512 -34.5792742079477,-58.4339877760902 -34.5787299557414,-58.4329751807061 -34.5795381977757,-58.4319586477857 -34.5803494586,-58.4325730538816 -34.5808866059063,-58.4334818241166 -34.581681296327,-58.4345087443362 -34.5808767862376,-58.4355298532169 -34.5800768437583,-58.4346108659512 -34.5792742079477)))";;"1502";14_8_2;COMUNA 14;"8";"2";"592";"287";"305";"94,10%";"412";"412";"100,00%";"0";"0,00%";"290";"5";"1.72";"285";"98,28%";"1.72";1.720
"MULTIPOLYGON (((-58.4319568896213 -34.5786493169101,-58.4309315909792 -34.5794513413543,-58.4319586477857 -34.5803494586,-58.4329751807061 -34.5795381977757,-58.4319568896213 -34.5786493169101)))";;"1503";14_8_3;COMUNA 14;"8";"3";"356";"166";"190";"87,37%";"227";"226";"99,56%";"1";"0,44%";"169";"10";"5.92";"159";"94,08%";"5.92";5.920
"MULTIPOLYGON (((-58.4309744545978 -34.577791776093,-58.4299317086775 -34.5785768856,-58.4309315909792 -34.5794513413543,-58.4319568896213 -34.5786493169101,-58.4309744545978 -34.577791776093)))";;"1504";14_8_4;COMUNA 14;"8";"4";"455";"203";"252";"80,56%";"316";"316";"100,00%";"0";"0,00%";"245";"30";"12.24";"215";"87,76%";"12.24";12.240
"MULTIPOLYGON (((-58.430105413946 -34.5770331349857,-58.4293071730561 -34.5772659571781,-58.428683736464 -34.5774855125632,-58.4299317086775 -34.5785768856,-58.4309744545978 -34.577791776093,-58.430105413946 -34.5770331349857)))";;"1505";14_8_5;COMUNA 14;"8";"5";"987";"429";"558";"76,88%";"645";"644";"99,84%";"1";"0,16%";"482";"4";"0.83";"478";"99,17%";"0.83";0.830
"MULTIPOLYGON (((-58.4274039091632 -34.5779077725374,-58.428986210866 -34.5792887000775,-58.4299317086775 -34.5785768856,-58.428683736464 -34.5774855125632,-58.4293071730561 -34.5772659571781,-58.4292978990603 -34.5772489116709,-58.4290147046708 -34.5772536227781,-58.4284994069358 -34.5772530569274,-58.4278468505435 -34.577468022218,-58.4266562649694 -34.5778602281201,-58.4267174328779 -34.5779805328977,-58.4267814935005 -34.5781064725322,-58.4274039091632 -34.5779077725374)))";;"1506";14_8_6;COMUNA 14;"8";"6";"927";"398";"529";"75,24%";"629";"629";"100,00%";"0";"0,00%";"469";"33";"7.04";"436";"92,96%";"7.04";7.040
